Quick Win Opportunities — 335 Posts,,,,,,,,,,,,,,,,
"Position ≤15 | Impressions >5,000 | CTR <2% — Improve title tags & meta descriptions for big click gains",,,,,,,,,6 - 7 Months Forecast,,,,,,,
URL,Topic,Clicks,Impressions,CTR (%),Avg Position,Rounded Position,Position Group,,Conservative,Moderate,Optimistic,,Position Group,Conservative,Moderate,Optimistic
https://www.veriheal.com/blog/cannabis-decarboxylation-explained-why-its-important-and-how-to-do-it/,Edibles & Recipes,3520,329716,1.07,9,9,8 to 11,,8,7,6,,1 to 3,5%,10%,15%
https://www.veriheal.com/blog/how-much-is-a-quarter-pound-of-weed/,Other,495,277253,0.18,12,12,12+,,9,8,7,,4 to 7,10%,20%,30%
https://www.veriheal.com/blog/how-much-is-an-eighth-of-weed/,Other,41,242756,0.02,6,6,4 to 7,,5,5,4,,8 to 11,15%,25%,35%
https://www.veriheal.com/blog/how-much-is-a-zip-of-weed/,Other,113,242411,0.05,7,7,4 to 7,,6,5,5,,12+,20%,30%,40%
https://www.veriheal.com/blog/is-it-safe-to-consume-cannabis-while-taking-antibiotics/,Drug Interactions,841,208274,0.4,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/rolling-paper-alternatives/,Consumption & Gear,1194,193367,0.62,7,7,4 to 7,,6,6,5,,,,,
https://www.veriheal.com/blog/how-much-is-an-ounce-of-weed/,Other,53,181044,0.03,6,6,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/how-long-does-cannabis-high-last/,Effects & Experience,453,179134,0.25,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/fetty-wap-on-cannabis-use-and-dealing-with-glaucoma/,Health & Conditions,147,160654,0.09,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/how-food-intake-impacts-cannabis-consumption-and-effects/,Effects & Experience,879,147039,0.6,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/green-crack-strain/,Strains,751,143544,0.52,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/edibles/ediblocked-cant-get-high-edibles/,Edibles & Recipes,2389,134158,1.78,7,7,4 to 7,,6,6,5,,,,,
https://www.veriheal.com/blog/is-it-safe-to-use-cannabis-if-i-have-the-flu-benefits-risks-best-products/,Other,2176,133275,1.63,7,7,4 to 7,,6,6,5,,,,,
https://www.veriheal.com/blog/growing-cannabis/cannabis-plant-anatomy/,Growing,103,132053,0.08,2,2,1 to 3,,2,2,2,,,,,
https://www.veriheal.com/blog/sour-diesel-strain-information-and-effects/,Strains,235,127122,0.18,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/four-methods-to-clean-your-glass-pipe-to-perfection/,Consumption & Gear,1596,126419,1.26,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/infuse-anything-with-this-simple-cannabis-coconut-oil-recipe/#2392-section-0,Edibles & Recipes,97,122374,0.08,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/can-you-get-higher-by-holding-in-cannabis-smoke-for-a-long-time/,Consumption & Gear,461,118158,0.39,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/which-states-allow-out-of-state-patients-to-buy-medical-marijuana/#1185-section-0,Health & Conditions,88,113520,0.08,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/which-states-allow-out-of-state-patients-to-buy-medical-marijuana/#1185-section-3,Health & Conditions,20,112556,0.02,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/infuse-anything-with-this-simple-cannabis-coconut-oil-recipe/#2392-section-4,Edibles & Recipes,5,112438,0,5,5,4 to 7,,5,4,4,,,,,
